Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-05-24,3.9053342313753503,3.9723376803222337,3.9053342313753503,3.9531939029693604,26694,0.0,0
2019-05-27,3.9531935317900913,3.9627651913559836,3.8957622051239014,3.8957622051239014,31459,0.0,0
2019-05-28,3.8957624864137856,3.914906263351441,3.694752372144763,3.9149062633514404,41017,0.0,0
2019-05-29,3.886190555621055,3.886190555621055,3.6851806599489603,3.7330403327941895,21514,0.0,0
2019-05-30,3.8383312225341792,3.88619043750107,3.7330402193291747,3.8383312225341797,38566,0.0,0
2019-05-31,3.8191871643066406,3.8574749465326743,3.7904714987959833,3.8191871643066406,562915,0.0,0
2019-06-03,3.8000434848621483,3.838331268071185,3.752184041115638,3.80961537361145,22449,0.0,0
2019-06-04,3.828758867545476,3.857474759878462,3.790471315383911,3.790471315383911,542085,0.0,0
2019-06-05,3.876618429568505,3.8957622051239014,3.742611772468923,3.8957622051239014,381655,0.0,0
2019-06-06,3.9053343182976663,3.9531939909569047,3.9053343182976663,3.943621873855591,266324,0.0,0
2019-06-07,3.962765390628277,3.9819091671463407,3.8287589550018306,3.828758955001831,24366,0.0,0
2019-06-11,3.991481739903384,4.029769297316354,3.9723379611969,3.9723379611968994,16894,0.0,0
2019-06-12,4.010625518609869,4.039340958457752,3.9723379611969,3.9723379611968994,23108,0.0,0
2019-06-13,4.048913090499702,4.077628986873946,4.029769311724769,4.039340972900391,15449,0.0,0
2019-06-14,4.048912436928613,4.0776283286675685,4.001052769504891,4.010624885559082,18300,0.0,0
2019-06-17,4.020196878401479,4.020196878401479,3.8383312225341792,3.8383312225341797,16169,0.0,0
2019-06-18,4.020196437835693,4.096771994953522,4.001052662662136,4.020196437835693,17616,0.0,0
2019-06-19,4.135059897629698,4.2212066650390625,4.135059897629698,4.2212066650390625,30823,0.0,0
2019-06-20,4.230778781653237,4.316926005486244,4.1159161208249895,4.2212066650390625,38652,0.0,0
2019-06-21,4.278638245825502,4.403073030549453,4.249922807149925,4.383929252624512,26827,0.0,0
2019-06-24,4.297781856586678,4.307353973388672,4.22120674786533,4.307353973388672,30025,0.0,0
2019-06-25,4.307353778203951,4.374357223510741,4.278637885522861,4.374357223510742,8268,0.0,0
2019-06-26,4.316925894572191,4.450932328762143,4.297781661835711,4.374357223510742,24355,0.0,0
2019-06-27,4.374357310956565,4.374357310956565,4.345641417701428,4.364785194396973,47486,0.0,0
2019-06-28,4.479648028510571,4.604082810075112,4.412645035686323,4.4413604736328125,47712,0.0,0
2019-07-01,4.355213848141706,4.355213848141706,4.240350723266602,4.240350723266602,57523,0.0,0
2019-07-02,4.316926575920889,4.316926575920889,4.240351002159791,4.259494781494141,32042,0.0,0
2019-07-03,4.307353778731973,4.316925895101387,4.240350333416969,4.278637886047363,14620,0.0,0
2019-07-04,4.240350550493462,4.336069893393242,4.211635112762451,4.211635112762451,23454,0.0,0
2019-07-05,4.403072859290356,4.41264497609235,4.278638079406341,4.307353973388672,26728,0.0,0
2019-07-08,4.374356922893672,4.441359907172216,4.355213147896432,4.403072357177734,4817,0.0,0
2019-07-09,4.374357116979155,4.441360104230548,4.364785000844031,4.431788444519043,16943,0.0,0
2019-07-10,4.374357669647585,4.470076560974121,4.364785552303093,4.470076560974121,14519,0.0,0
2019-07-11,4.393501171563073,4.450932502746582,4.374357394501903,4.450932502746582,14719,0.0,0
2019-07-12,4.412644472888154,4.412644472888154,4.403072357177734,4.403072357177734,4606,0.0,0
2019-07-15,4.374357335900368,4.374357335900368,4.2212066650390625,4.2212066650390625,27861,0.0,0
2019-07-16,4.316926041683281,4.498791694641113,4.240350477398729,4.498791694641113,18558,0.0,0
2019-07-17,4.364785304929683,4.4796479680117045,4.307353973388672,4.307353973388672,21199,0.0,0
2019-07-18,4.374357372578962,4.55622348196044,4.374357372578962,4.498791694641113,8340,0.0,0
2019-07-19,4.4509321147426695,4.537078875796382,4.422216223442359,4.489219665527344,15915,0.0,0
2019-07-22,4.431788682106402,4.517935449822736,4.393501128360555,4.455718517303467,84200,0.0,0
2019-07-23,4.494005898178563,4.517935276031494,4.479647723758453,4.517935276031494,29751,0.0,0
2019-07-24,4.489220032501036,4.546651363372803,4.4796479158105855,4.546651363372803,4559,0.0,0
2019-07-25,4.546651339710891,4.642370223999023,4.537079223070257,4.642370223999023,18594,0.0,0
2019-07-26,4.5849385261535645,4.5849385261535645,4.460503758334911,4.5849385261535645,15906,0.0,0
2019-07-29,4.489220032501036,4.546651363372803,4.441360361896074,4.546651363372803,19198,0.0,0
2019-07-30,4.441360301179152,4.450932417738744,4.35521353426102,4.364785194396973,27907,0.0,0
2019-07-31,4.403072856832664,4.431788750798967,4.355213642120361,4.355213642120361,27911,0.0,0
2019-08-01,4.383929054820665,4.450932502746582,4.355213617440734,4.450932502746582,13265,0.0,0
2019-08-02,4.450932416509175,4.498791630022996,4.4030727465717145,4.412644863128662,12109,0.0,0
2019-08-05,4.412644863128662,4.412644863128662,4.412644863128662,4.412644863128662,0,0.0,0
2019-08-06,4.355213359821601,4.36478501957418,4.307353691787843,4.336069583892822,46487,0.0,0
2019-08-07,4.364785474699571,4.383929252624512,4.307354140924748,4.383929252624512,143867,0.0,0
2019-08-08,4.479648221894936,4.489220339239428,4.441360665364322,4.470076560974121,20214,0.0,0
